% 1. Title: Tweet NLP Database
% 
% 2. Sources:
%      (a) Creator: Y. Kang and Z. Wang
%      (b) Date: Feb, 2016
@RELATION NLP_project

@ATTRIBUTE first_person_pronouns  NUMERIC
@ATTRIBUTE second_person_pronouns  NUMERIC
@ATTRIBUTE third_person_pronouns  NUMERIC
@ATTRIBUTE coordinating_conjunctions  NUMERIC
@ATTRIBUTE past_tense_verbs  NUMERIC
@ATTRIBUTE future_tense_verbs  NUMERIC
@ATTRIBUTE commas  NUMERIC
@ATTRIBUTE colons_and_semicolons  NUMERIC
@ATTRIBUTE dashes  NUMERIC
@ATTRIBUTE parentheses  NUMERIC
@ATTRIBUTE ellipses  NUMERIC
@ATTRIBUTE common_nouns  NUMERIC
@ATTRIBUTE proper_nouns  NUMERIC
@ATTRIBUTE adverbs  NUMERIC
@ATTRIBUTE wh_words  NUMERIC
@ATTRIBUTE modern_slang_acroynms  NUMERIC
@ATTRIBUTE all_upper_case_words  NUMERIC
@ATTRIBUTE avg_sentence_len NUMERIC
@ATTRIBUTE avg_token_len NUMERIC
@ATTRIBUTE n_sentences NUMERIC
@ATTRIBUTE tclass {0, 4}

@DATA 
0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,1,7.5,4.15384615385,2,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5.0,4.6,1,0
1,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,9.0,4.375,2,0
1,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,8.0,4.14285714286,2,0
2,0,0,1,1,0,0,1,0,0,0,4,0,3,0,0,2,7.33333333333,3.5,3,0
2,0,1,2,1,0,0,0,0,0,0,4,0,3,0,0,0,6.66666666667,4.66666666667,3,0
0,2,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,12.0,4.41666666667,1,0
3,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,27.0,3.52,1,0
1,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,2,5.66666666667,4.25,3,0
4,0,0,2,1,0,0,0,0,0,0,5,1,2,0,0,1,16.0,3.25806451613,2,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7.0,4.42857142857,1,0
2,1,1,0,1,0,1,0,0,0,0,4,1,1,0,0,1,8.66666666667,3.54545454545,3,0
0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,5.0,4.8,1,0
0,0,0,1,1,0,2,0,0,0,0,2,0,1,0,0,0,15.0,3.75,1,0
2,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,2,7.0,3.58333333333,2,0
0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,8,5.5,6.125,2,0
3,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,13.0,2.91666666667,1,0
0,0,1,0,0,1,0,0,0,0,1,1,2,2,0,0,1,10.0,3.0,1,0
1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,11.0,3.63636363636,1,0
2,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,15.0,4.86666666667,1,0
1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,18.0,4.23529411765,1,0
0,0,0,1,1,0,1,0,0,0,0,2,0,2,0,0,0,14.0,4.75,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,9.0,5.0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7.0,4.0,1,0
0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0,0,8.0,4.53333333333,2,0
1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,5.5,4.63636363636,2,0
2,0,2,1,0,0,1,2,0,0,0,5,0,1,0,0,0,12.5,3.82608695652,2,0
1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,0,6.33333333333,3.41176470588,3,0
0,0,1,0,1,0,0,0,0,0,0,6,2,0,1,0,1,18.0,5.5,1,0
1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,6.0,3.63636363636,2,0
1,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,2,6.5,4.46153846154,2,0
0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,5.0,4.8,1,0
2,0,0,1,0,1,0,0,0,0,2,2,0,2,0,0,0,20.0,4.75,1,0
2,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,12.0,4.58333333333,1,0
0,0,3,0,0,0,1,0,0,0,0,4,1,1,0,0,1,6.5,4.0,4,0
2,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,5.0,5.625,2,0
3,0,1,2,3,0,0,0,0,0,0,15,0,0,0,0,3,8.0,3.34375,4,0
1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,1,14.0,3.21428571429,1,0
2,0,1,0,2,0,2,0,0,0,0,6,0,1,0,0,0,24.0,4.5,1,0
2,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,7.25,4.2,4,0
1,0,0,0,1,0,0,0,1,0,1,2,0,2,0,0,0,13.0,4.33333333333,1,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.0,7.0,1,0
2,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,8.0,4.26666666667,2,0
1,0,0,1,1,0,0,0,0,0,1,2,0,2,0,0,0,14.0,4.78571428571,1,0
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6.0,5.5,1,0
1,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,10,6.0,3.0,2,0
0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,8.0,3.625,1,0
2,0,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0,24.0,4.375,1,0
5,0,1,0,2,0,0,0,0,0,1,6,0,2,1,0,0,10.3333333333,3.72413793103,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,3.33333333333,1,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,7.0,1,0
